"Subnum","ChoiceSet","PropOptimal","RT"
1,"AB",0.52,1.87057
1,"CD",0.72,1.74072
1,"CA",0.6,1.76452
1,"CB",0.4,1.78796
1,"AD",0.24,1.67508
1,"BD",0.36,2.24104
2,"AB",0.68,1.1534
2,"CD",0.82,1.91814
2,"CA",0.28,1.77992
2,"CB",0.32,1.11528
2,"AD",0.68,1.93724
2,"BD",0.68,2.03412
3,"AB",0.42,1.0096
3,"CD",0.92,0.91494
3,"CA",0.56,0.908
3,"CB",0.48,1.02984
3,"AD",0.64,0.87748
3,"BD",0.64,0.9644
4,"AB",1,1.37263
4,"CD",1,1.31106
4,"CA",0,1.54684
4,"CB",1,1.7672
4,"AD",0.96,1.13572
4,"BD",0,1.4868
5,"AB",0.44,1.16772
5,"CD",0.62,1.8813
5,"CA",0.28,1.53464
5,"CB",0.92,1.60224
5,"AD",0.88,1.5648
5,"BD",0.76,1.72984
6,"AB",0.72,0.909371
6,"CD",0.6,1.0805
6,"CA",0.16,0.61612
6,"CB",0.32,1.1694
6,"AD",0.56,1.17768
6,"BD",0.52,0.94204
7,"AB",0.91,2.54477
7,"CD",0.84,2.31516
7,"CA",0.32,3.89564
7,"CB",0.48,2.39952
7,"AD",0.52,3.09784
7,"BD",0.32,1.9362
8,"AB",0.57,1.23398
8,"CD",0.88,1.33782
8,"CA",0,0.7072
8,"CB",0,0.56664
8,"AD",1,0.49528
8,"BD",1,0.63776
9,"AB",0.5,1.037813
9,"CD",0.54,1.28328
9,"CA",0.28,0.9402
9,"CB",0.12,1.39832
9,"AD",0.88,1.02916
9,"BD",0.32,1.15424
10,"AB",1,2.22592
10,"CD",1,3.0945
10,"CA",0,2.10888
10,"CB",1,2.528
10,"AD",1,2.0512
10,"BD",1,2.4148
11,"AB",0.38,1.26458
11,"CD",0.8,1.76664
11,"CA",0.4,1.5434
11,"CB",0.44,1.80032
11,"AD",0.76,2.344
11,"BD",0.88,1.22096
12,"AB",0.86,0.7976
12,"CD",0.94,0.9278
12,"CA",1,0.78928
12,"CB",1,0.66088
12,"AD",1,0.99564
12,"BD",0.96,1.4466
13,"AB",0.72,0.986868
13,"CD",0.86,1.048832
13,"CA",0.52,0.64908
13,"CB",0.88,2.02108
13,"AD",0.36,2.66752
13,"BD",0.24,0.74172
14,"AB",0.86,1.12567
14,"CD",0.76,1.31486
14,"CA",0.28,1.03428
14,"CB",0.4,1.3816
14,"AD",0.8,1.02448
14,"BD",0.64,2.21276
15,"AB",0.82,0.86937
15,"CD",0.76,1.3636
15,"CA",0.28,0.89284
15,"CB",1,0.72724
15,"AD",1,0.59516
15,"BD",0.96,1.075
16,"AB",0.6,1.03369
16,"CD",0.52,2.133
16,"CA",0.04,1.07948
16,"CB",0.96,1.4348
16,"AD",1,0.90776
16,"BD",0,1.16332
17,"AB",0.46,1.21713
17,"CD",0.42,1.09482
17,"CA",0.44,0.71776
17,"CB",0.6,0.95744
17,"AD",0.64,1.41628
17,"BD",0.56,1.219
18,"AB",0.82,0.972462
18,"CD",0.44,0.84054
18,"CA",0.32,0.698548
18,"CB",0.4,0.74536
